run_id,channels,run_number,experiment,wall,radius_px,BIoU_Ashlar,BIoU_Polygonal,BIoU_Quarry,BIoU_mean_stones
7ch_run1,7,1,v2_yaw_correction-epsV1,wall4,15,0.5600108828875455,0.018294280401541244,0.08666522158945357,0.22165679495951343
7ch_run2,7,2,v2_yaw_correction-epsV1,wall4,5,0.2513728931631278,0.008865160373930566,0.005327889259572773,0.08852198093221038
7ch_run2,7,2,v2_yaw_correction-epsV1,wall4,15,0.5174378635302115,0.02010275441345085,0.009309542280837859,0.1822833867415001
7ch_run3,7,3,v2_yaw_correction-epsV1,wall4,5,0.23770988460010212,0.00973155060198374,0.024985327408401106,0.09080892087016233
7ch_run3,7,3,v2_yaw_correction-epsV1,wall4,15,0.5028536989460974,0.023994705242755165,0.06520942963434145,0.19735261127439804
7ch_run4,7,4,v2_yaw_correction-epsV1,wall4,5,0.2413725553811082,0.01050453213787137,0.015491283676703644,0.08912279039856108
7ch_run4,7,4,v2_yaw_correction-epsV1,wall4,15,0.511935773303283,0.0225830608123449,0.04472933935011234,0.1930827244885801
7ch_run5,7,5,v2_yaw_correction-epsV1,wall4,5,0.30875598267479404,0.012932247958933074,0.035389146733309534,0.11902579245567886
7ch_run5,7,5,v2_yaw_correction-epsV1,wall4,15,0.5714272529617962,0.028482183427148332,0.06955892404808814,0.22315612014567757
3ch_run1,3,1,v2_yaw_correction-epsV1,AllWalls,5,0.1951033168873956,0.14974556638464617,0.09774243347647545,0.1475304389161724
3ch_run1,3,1,v2_yaw_correction-epsV1,AllWalls,15,0.4233661120617506,0.29064903093431044,0.19223170244841642,0.3020822818148258
3ch_run2,3,2,v2_yaw_correction-epsV1,AllWalls,5,0.1977731067860805,0.1579185026653647,0.08905293380350181,0.14824818108498233
3ch_run2,3,2,v2_yaw_correction-epsV1,AllWalls,15,0.4227988730807553,0.3050975644095446,0.17222468481292078,0.30004037410107354
3ch_run3,3,3,v2_yaw_correction-epsV1,AllWalls,5,0.21102783261702995,0.1652084117341002,0.09229907719321842,0.15617844051478283
3ch_run3,3,3,v2_yaw_correction-epsV1,AllWalls,15,0.45203141399875285,0.31976881764804893,0.17858616110164194,0.31679546424948124
3ch_run4,3,4,v2_yaw_correction-epsV1,AllWalls,5,0.1947372045252028,0.15639050316139486,0.10218304427585119,0.15110358398748294
3ch_run4,3,4,v2_yaw_correction-epsV1,AllWalls,15,0.42082995801382533,0.2996001819944643,0.1997086611014601,0.3067129337032499
3ch_run5,3,5,v2_yaw_correction-epsV1,AllWalls,5,0.1995536250373721,0.14189652166047856,0.08692953305967249,0.14279322658584107
3ch_run5,3,5,v2_yaw_correction-epsV1,AllWalls,15,0.4261638000977115,0.29163053814049417,0.17415414940776364,0.29731616254865645
4ch_run1,4,1,v2_yaw_correction-epsV1,AllWalls,5,0.23523717736719618,0.17647095786126274,0.1090761946811319,0.1735947766365303
4ch_run1,4,1,v2_yaw_correction-epsV1,AllWalls,15,0.47948855093203085,0.32137650614112917,0.19074315158279836,0.3305360695519861
4ch_run2,4,2,v2_yaw_correction-epsV1,AllWalls,5,0.23107226416762958,0.17511892834259143,0.08819031365688029,0.16479383538903378
4ch_run2,4,2,v2_yaw_correction-epsV1,AllWalls,15,0.4751015143640682,0.32694623610699375,0.14735955220181052,0.3164691008909575
4ch_run3,4,3,v2_yaw_correction-epsV1,AllWalls,5,0.22836945087649918,0.19243480871476518,0.08851049545523668,0.16977158501550035
4ch_run3,4,3,v2_yaw_correction-epsV1,AllWalls,15,0.4691831623624272,0.3365921833773747,0.15386634428521453,0.3198805633416721
4ch_run4,4,4,v2_yaw_correction-epsV1,AllWalls,5,0.22422206983275758,0.1840007700995893,0.09826264117712723,0.16882849370315803
4ch_run4,4,4,v2_yaw_correction-epsV1,AllWalls,15,0.461765800827928,0.3234945726159089,0.1672561955132823,0.3175055229857064
4ch_run5,4,5,v2_yaw_correction-epsV1,AllWalls,5,0.23995159137431185,0.1772741284211539,0.10159571936806382,0.17294047972117652
4ch_run5,4,5,v2_yaw_correction-epsV1,AllWalls,15,0.4837564443135407,0.33176084386442883,0.17637517464357996,0.3306308209405165
7ch_run1,7,1,v2_yaw_correction-epsV1,AllWalls,5,0.2599052978166247,0.2030253394563785,0.1294811518442074,0.19747059637240352
7ch_run1,7,1,v2_yaw_correction-epsV1,AllWalls,15,0.526841894626087,0.35873201448045067,0.2319527961591061,0.37250890175521456
7ch_run2,7,2,v2_yaw_correction-epsV1,AllWalls,5,0.2339786442662918,0.19868551682582045,0.10949814784179875,0.180720769644637
7ch_run2,7,2,v2_yaw_correction-epsV1,AllWalls,15,0.4796846904984497,0.3396773989069946,0.19630874670982515,0.3385569453717565
7ch_run3,7,3,v2_yaw_correction-epsV1,AllWalls,5,0.23584015463793295,0.204521405592486,0.1335734047416149,0.19131165499067793
7ch_run3,7,3,v2_yaw_correction-epsV1,AllWalls,15,0.4897674963037137,0.35117803273589976,0.2399163813013721,0.36028730344699517
7ch_run4,7,4,v2_yaw_correction-epsV1,AllWalls,5,0.2351359554760768,0.20093234180650432,0.14084629537942636,0.19230486422066917
7ch_run4,7,4,v2_yaw_correction-epsV1,AllWalls,15,0.484225742772255,0.34733228554586576,0.24393870854843375,0.3584989122888515
7ch_run5,7,5,v2_yaw_correction-epsV1,AllWalls,5,0.2649767114455963,0.20802689324705215,0.14079861578353045,0.2046007401587263
7ch_run5,7,5,v2_yaw_correction-epsV1,AllWalls,15,0.5315632188875811,0.3669524866514662,0.2536819396128076,0.3840658817172849
